epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,9947.38,0.28312,0.29196,0.87057,0.9879,0.99343,0.99473,0.96643,0.24192,0.16244,0.83489,0.000173264,0.000173264,0.000173264
82,10069.8,0.28347,0.28762,0.87294,0.98767,0.99722,0.99494,0.96911,0.23823,0.15716,0.82562,0.000165017,0.000165017,0.000165017
83,10192.4,0.28111,0.28491,0.87208,0.99233,0.99661,0.99494,0.96954,0.23843,0.15742,0.82892,0.000156771,0.000156771,0.000156771
84,10314.8,0.26298,0.28467,0.86744,0.99128,0.99732,0.99496,0.96844,0.23244,0.15582,0.82572,0.000148524,0.000148524,0.000148524
85,10437.7,0.26469,0.26313,0.87171,0.99291,0.99724,0.99448,0.96955,0.2381,0.15697,0.83637,0.000140277,0.000140277,0.000140277
86,10560.2,0.2718,0.27364,0.8662,0.99208,0.99723,0.99494,0.96776,0.23247,0.15159,0.83314,0.000132031,0.000132031,0.000132031
87,10682.5,0.25798,0.26605,0.86525,0.9798,0.99887,0.9948,0.97129,0.2313,0.15499,0.8331,0.000123784,0.000123784,0.000123784
88,10805.3,0.25523,0.26337,0.86502,0.98964,0.99994,0.99479,0.96996,0.23043,0.15237,0.82558,0.000115537,0.000115537,0.000115537
89,10927.7,0.25559,0.25725,0.8618,0.98478,1,0.99447,0.97006,0.23046,0.15121,0.8252,0.00010729,0.00010729,0.00010729
90,11050.1,0.25506,0.25397,0.86399,0.99022,0.99168,0.99471,0.97001,0.22297,0.14798,0.81557,9.90437e-05,9.90437e-05,9.90437e-05
91,11173.8,0.22148,0.17426,0.81412,0.99171,0.98895,0.99418,0.96981,0.23335,0.1485,0.83328,9.0797e-05,9.0797e-05,9.0797e-05
92,11296.3,0.21429,0.16738,0.81814,0.9914,0.98911,0.99437,0.96789,0.22772,0.15133,0.82411,8.25503e-05,8.25503e-05,8.25503e-05
93,11418.8,0.21017,0.16243,0.811,0.99107,0.99003,0.9942,0.96857,0.22425,0.14831,0.82471,7.43036e-05,7.43036e-05,7.43036e-05
94,11541.1,0.20368,0.15602,0.81443,0.99148,0.99048,0.99348,0.97188,0.21528,0.1447,0.82138,6.60569e-05,6.60569e-05,6.60569e-05
95,11663.5,0.19548,0.15016,0.80297,0.99153,0.99063,0.99459,0.97317,0.21623,0.14537,0.82288,5.78102e-05,5.78102e-05,5.78102e-05
96,11785.9,0.19891,0.14921,0.80837,0.99231,0.99005,0.99394,0.97001,0.21521,0.1479,0.82185,4.95635e-05,4.95635e-05,4.95635e-05
97,11908.2,0.19586,0.15205,0.80628,0.99215,0.99127,0.99421,0.9704,0.21145,0.1438,0.81801,4.13168e-05,4.13168e-05,4.13168e-05
98,12030.4,0.19046,0.14439,0.80524,0.99194,0.99125,0.99424,0.9722,0.20807,0.14241,0.81596,3.30701e-05,3.30701e-05,3.30701e-05
99,12152.8,0.18917,0.1462,0.80533,0.99207,0.99139,0.99418,0.97398,0.20441,0.14092,0.81591,2.48234e-05,2.48234e-05,2.48234e-05
100,12275.2,0.18587,0.14234,0.80575,0.99181,0.99135,0.99422,0.97365,0.20228,0.14012,0.81614,1.65767e-05,1.65767e-05,1.65767e-05
